title,url,rank,item_id,score,author,comments,scraped_at
Macro Gaussian Splats,https://danybittel.ch/macro.html,1.,45556952,244 points,danybittel,38 comments,2025-10-12T17:26:05.320936
No I don't want to turn on Windows Backup with One Drive,https://idiallo.com/byte-size/say-no-to-onedrive-backup,2.,45559023,63 points,firefoxd,37 comments,2025-10-12T17:26:05.321177
Germany's Schleswig-Holstein Completes Migration to Open Source Email,https://news.itsfoss.com/schleswig-holstein-email-system-migration/,3.,45558635,90 points,sebastian_z,31 comments,2025-10-12T17:26:05.321383
Addictive-like behavioural traits in pet dogs with extreme motivation for toys,https://www.nature.com/articles/s41598-025-18636-0,4.,45559305,5 points,wallflower,,2025-10-12T17:26:05.321574
Faster LLM inference,https://www.together.ai/blog/adaptive-learning-speculator-system-atlas,5.,45556474,129 points,alecco,32 comments,2025-10-12T17:26:05.321768
Loko Scheme: bare metal optimizing Scheme compiler,https://scheme.fail/,6.,45500422,71 points,dTal,5 comments,2025-10-12T17:26:05.321989
How to Run WordPress completely from RAM,https://rickconlee.com/how-to-run-wordpress-completely-from-ram/,7.,45518367,9 points,indigodaddy,8 comments,2025-10-12T17:26:05.322188
Nostr and ATProto (2024),https://shreyanjain.net/2024/07/05/nostr-and-atproto.html,8.,45556763,54 points,sph,26 comments,2025-10-12T17:26:05.322383
Konrad Zuse's Helix Tower [pdf],https://www.iaarc.org/publications/fulltext/The_helix-tower_by_konrad_zuse_automated_con-_and_deconstruction.pdf,9.,45508611,33 points,xg15,2 comments,2025-10-12T17:26:05.322574
Meta Superintelligence's surprising first paper,https://paddedinputs.substack.com/p/meta-superintelligences-surprising,10.,45553577,354 points,skadamat,187 comments,2025-10-12T17:26:05.322770
The Flummoxagon,https://n-e-r-v-o-u-s.com/blog/?p=9827,11.,45504540,85 points,robinhouston,19 comments,2025-10-12T17:26:05.322955
Show HN: I extracted BASIC listings for Tim Hartnell's 1986 book,https://github.com/nzduck/hartnell-exploring-ai-book,12.,45536686,18 points,nzduck,,2025-10-12T17:26:05.323133
C++ Reflection and Qt MOC,https://wiki.qt.io/C%2B%2B_reflection_(P2996)_and_moc,13.,45521584,55 points,coffeeaddict1,17 comments,2025-10-12T17:26:05.323319
Pipelining in psql (PostgreSQL 18),https://postgresql.verite.pro/blog/2025/10/01/psql-pipeline.html,14.,45555308,135 points,tanelpoder,27 comments,2025-10-12T17:26:05.323511
Quantification of fibrinaloid clots in plasma from pediatric Long COVID patients,https://www.researchsquare.com/article/rs-7483367/v1,15.,45557267,108 points,thenerdhead,92 comments,2025-10-12T17:26:05.323772
I/O Multiplexing (select vs. poll vs. epoll/kqueue),https://nima101.github.io/io_multiplexing,16.,45523370,97 points,pykello,38 comments,2025-10-12T17:26:05.323982
Jeep pushed software update that bricked all 2024 Wrangler 4xe models,https://twitter.com/StephenGutowski/status/1977055831720862101,17.,45558318,164 points,PKop,159 comments,2025-10-12T17:26:05.324172
Ask HN: Abandoned/dead projects you think died before their time and why?,item?id=45553132,18.,45553132,229 points,ofalkaed,631 comments,2025-10-12T17:26:05.324357
Extreme weather caused more than $100B in damage by June,https://www.livescience.com/planet-earth/climate-change/extreme-weather-caused-more-than-usd100-billion-in-damage-by-june-smashing-us-records,19.,45558160,48 points,geox,27 comments,2025-10-12T17:26:05.324546
Anthropic's Prompt Engineering Tutorial,https://github.com/anthropics/prompt-eng-interactive-tutorial,20.,45551260,281 points,cjbarber,68 comments,2025-10-12T17:26:05.324736
CamoLeak: Critical GitHub Copilot Vulnerability Leaks Private Source Code,https://www.legitsecurity.com/blog/camoleak-critical-github-copilot-vulnerability-leaks-private-source-code,21.,45553422,120 points,greyadept,15 comments,2025-10-12T17:26:05.324927
Show HN: I made an esoteric programming language that's read like a spellbook,https://github.com/sirbread/spellscript,22.,45555523,89 points,sirbread,24 comments,2025-10-12T17:26:05.325118
Why it took 4 years to get a lock files specification,https://snarky.ca/why-it-took-4-years-to-get-a-lock-files-specification/,23.,45556741,95 points,birdculture,59 comments,2025-10-12T17:26:05.325302
Vancouver Stock Exchange: Scam capital of the world (1989) [pdf],https://scamcouver.wordpress.com/wp-content/uploads/2012/04/scam-capital.pdf,24.,45553783,121 points,thomassmith65,50 comments,2025-10-12T17:26:05.325490
A Guide for WireGuard VPN Setup with Pi-Hole Adblock and Unbound DNS,https://psyonik.tech/posts/a-guide-for-wireguard-vpn-setup-with-pi-hole-adblock-and-unbound-dns/,25.,45552049,131 points,pSYoniK,22 comments,2025-10-12T17:26:05.325676
Show HN: A Lisp Interpreter for Shell Scripting,https://github.com/gue-ni/redstart,26.,45520585,85 points,quintussss,19 comments,2025-10-12T17:26:05.325884
Coral Protocol: Open infrastructure connecting the internet of agents,https://arxiv.org/abs/2505.00749,27.,45555012,38 points,joj333,8 comments,2025-10-12T17:26:05.326107
Paper2video: Automatic video generation from scientific papers,https://arxiv.org/abs/2510.05096,28.,45553701,70 points,jinqueeny,21 comments,2025-10-12T17:26:05.326366
The World's 2.75B Buildings,https://tech.marksblogg.com/building-footprints-gba.html,29.,45506055,100 points,marklit,51 comments,2025-10-12T17:26:05.326583
Microsoft only lets you opt out of AI photo scanning 3x a year,https://hardware.slashdot.org/story/25/10/11/0238213/microsofts-onedrive-begins-testing-face-recognizing-ai-for-photos-for-some-preview-users,30.,45551504,740 points,dmitrygr,281 comments,2025-10-12T17:26:05.326781
